Patent ID,IPC
CN102764258,A61P000912
CN102775402,C07D045710
CN102775402,C07D045704
CN102813652,A61K0031451
CN102813652,A61K000920
CN102813652,A61K0031155
CN102813652,A61P000310
CN102824350,A61K0031635
CN102824350,A61K000916
CN102824350,A61K0031505
CN102824350,A61K004734
CN102824350,A61P003104
CN102836161,A61K0031549
CN102836161,A61K00314178
CN102836161,A61K00314422
CN102836161,A61P000906
CN102836161,A61P000910
CN102836161,A61P000912
CN102836161,A61P001312
CN102846608,A61K00314422
CN102846608,A61K000928
CN102846608,A61K003140
CN102846608,A61P000306
CN102846608,A61P000912
CN102846624,A61K0031549
CN102846624,A61K000928
CN102846624,A61K00314184
CN102846624,A61P000912
CN102846625,A61K0031549
CN102846625,A61K00314192
CN102846625,A61K00314422
CN102846625,A61P000912
CN102861015,A61K003143
CN102861015,A61K000924
CN102861015,A61K0031424
CN102861015,A61P003104
CN102885789,A61K000920
CN102885789,A61K00314184
CN102885789,A61K0031549
CN102885789,A61P000912
CN102885837,A61K0031635
CN102885837,A61K000908
CN102885837,A61K0031505
CN102885837,A61P003104
CN102885837,A61P003302
CN102895212,A61K000936
CN102895212,A61K00314412
CN102895212,A61K0031513
CN102895212,A61K003153
CN102895212,A61K004732
CN102895212,A61K004736
CN102895212,A61K004738
CN102895212,A61P003500
CN102895253,A61K00317056
CN102895253,A61K000900
CN102895253,A61K0031327
CN102895253,A61P001710
CN102920691,A61K0031192
CN102920691,A61K000952
CN102920691,A61K0031137
CN102920691,A61P001100
CN102920691,A61P002900
CN102920707,A61K00314965
CN102920707,A61K000920
CN102920707,A61K000928
CN102920707,A61K00314409
CN102920707,A61K0031496
CN102920707,A61P003106
CN102940607,A61K000914
CN102940607,A61K003143
CN102940607,A61K004702
CN102940607,A61K004726
CN102940607,A61P003104
CN102940636,A61K0031496
CN102940636,A61K000908
CN102940636,A61K003143
CN102940636,A61K004704
CN102940636,A61K004712
CN102940636,A61K004726
CN102940636,A61P003104
CN102949390,A61K003143
CN102949390,A61K0031424
CN102949390,A61P003104
CN102961390,A61K0031702
CN102961390,A61K000906
CN102961390,A61K0031573
CN102961390,A61P002702
CN102961390,A61P003104
CN102988364,A61K00314422
CN102988364,A61K000928
CN102988364,A61K003141
CN102988364,A61K004712
CN102988364,A61P000912
CN103006566,A61K000914
CN103006566,A61K000922
CN103006566,A61K000936
CN103006566,A61K00314178
CN103006566,A61K0031549
CN103006566,A61K004716
CN103006566,A61K004732
CN103006566,A61K004761
CN103006566,A61P000912
CN103006650,A61K00314422
CN103006650,A61K000920
CN103006650,A61K00314184
CN103006650,A61K004702
CN103006650,A61P000912
CN103006652,A61K00314422
CN103006652,A61K000948
CN103006652,A61K003140
CN103006652,A61P000306
CN103006652,A61P000912
CN103006676,A61K00317012
CN103006676,A61K000914
CN103006676,A61K000919
CN103006676,A61K0031431
CN103006676,A61K0031496
CN103006676,A61K004755
CN103006676,A61K004760
CN103006676,A61P003104
CN103006676,A61P003902
CN103040768,A61K000919
CN103040768,A61K003143
CN103040768,A61K0031431
CN103040768,A61K0031496
CN103040768,A61K0031546
CN103040768,A61K004506
CN103040768,A61P003100
CN103040841,A61K0031549
CN103040841,A61K00314184
CN103040841,A61P000912
CN103054879,A61K0031567
CN103054879,A61K000970
CN103054879,A61K0031565
CN103054879,A61P001500
CN103054879,A61P001512
CN103054879,A61P001910
CN103070863,A61K00314422
CN103070863,A61K000928
CN103070863,A61K000948
CN103070863,A61K0031165
CN103070863,A61P000904
CN103070863,A61P000912
CN103070864,A61K0031451
CN103070864,A61K000920
CN103070864,A61K0031155
CN103070864,A61P000310
CN103083319,A61K00314422
CN103083319,A61K003141
CN103083319,A61P000912
CN103110624,A61K003143
CN103110624,A61K000914
CN103110624,A61K0031424
CN103110624,A61P003104
CN103110624,C07D049918
CN103110624,C07D049968
CN103110633,A61K0031496
CN103110633,A61K000972
CN103110633,A61K00314409
CN103110633,A61K004726
CN103110633,A61K004736
CN103110633,A61K004742
CN103110633,A61P001100
CN103110633,A61P003106
CN103110639,A61K003153
CN103110639,A61K000948
CN103110639,A61K00314412
CN103110639,A61K0031513
CN103110639,A61P003500
CN103110648,A61K0031593
CN103110648,A61K000906
CN103110648,A61K0031573
CN103110648,A61K004714
CN103110648,A61P001706
CN103127116,A61K0031519
CN103127116,A61K0031198
CN103127116,A61P002516
CN103127117,A61K0031519
CN103127117,A61K0031165
CN103127117,A61K0031198
CN103127117,A61P002516
CN103142560,A61K000970
CN103142560,A61K003147
CN103142560,A61K004732
CN103142560,A61K004734
CN103142560,A61K004736
CN103142560,A61K004738
CN103142560,A61P001106
CN103142560,A61P001108
CN103142591,A61K0031431
CN103142591,A61K000914
CN103142591,A61K00314164
CN103142591,A61K0031424
CN103142591,A61P003104
CN103142608,A61K00315415
CN103142608,A61K000970
CN103142608,A61K0031485
CN103142608,A61P001114
CN103142608,A61P002504
CN103142618,A61K0031549
CN103142618,A61K000958
CN103142618,A61K000962
CN103142618,A61K0031138
CN103142618,A61P000710
CN103142618,A61P000912
CN103156851,A61K0031485
CN103156851,A61K000916
CN103156851,A61K0031137
CN103156851,A61K0031167
CN103156851,A61K00314402
CN103156851,A61K004738
CN103156851,A61P002900
CN103156852,A61K0031485
CN103156852,A61K000948
CN103156852,A61K0031137
CN103156852,A61K0031167
CN103156852,A61K00314402
CN103156852,A61P002900
CN103169701,A61K00314422
CN103169701,A61K000920
CN103169701,A61K00314184
CN103169701,A61P000912
CN103169704,A61K0031455
CN103169704,A61K000952
CN103169704,A61K0031366
CN103169704,A61P000306
CN103169728,A61K00317072
CN103169728,A61K0031513
CN103169728,A61K0031551
CN103169728,A61P003118
CN103191124,A61K0031549
CN103191124,A61K000948
CN103191124,A61K003141
CN103191124,A61K004734
CN103191124,A61P000912
CN103191125,A61K0031549
CN103191125,A61K000920
CN103191125,A61K003141
CN103191125,A61K004734
CN103191125,A61P000912
CN103191126,A61K0031549
CN103191126,A61K000920
CN103191126,A61K00314184
CN103191126,A61K004732
CN103191126,A61P000912
CN103202861,A61K0031675
CN103202861,A61K003574
CN103202861,A61K0035745
CN103202861,A61P000100
CN103202861,A61P003500
CN103211820,A61K003153
CN103211820,A61K000948
CN103211820,A61K003144
CN103211820,A61K0031513
CN103211820,A61P003500
CN103230403,A61K0031675
CN103230403,A61K000920
CN103230403,A61K003147
CN103230403,A61K0031513
CN103230403,A61K004738
CN103230403,A61P003118
CN103239454,A61K0031496
CN103239454,A61K000919
CN103239454,A61K0031431
CN103239454,A61P003100
CN103239457,A61K0031549
CN103239457,A61K000948
CN103239457,A61K00314184
CN103239457,A61K004726
CN103239457,A61P000912
CN103239708,A61K003805
CN103239708,A61K00314422
CN103239708,A61P000912
CN103251584,A61K0031357
CN103251584,A61K0009107
CN103251584,A61K0031137
CN103251584,A61P003306
CN103251593,A61K0031451
CN103251593,A61K000920
CN103251593,A61K000928
CN103251593,A61K000948
CN103251593,A61K0031155
CN103251593,A61K004716
CN103251593,A61P000310
CN103251594,A61K0031451
CN103251594,A61K000920
CN103251594,A61K000948
CN103251594,A61K0031155
CN103251594,A61P000310
CN103263418,A61K0031496
CN103263418,A61K000920
CN103263418,A61K0031357
CN103263418,A61P003306
CN103271908,A61K00314422
CN103271908,A61K000928
CN103271908,A61K00314184
CN103271908,A61P000910
CN103271908,A61P000912
CN103271926,A61K0031549
CN103271926,A61K003141
CN103271926,A61K00314422
CN103271926,A61P000912
CN103271928,A61K0031567
CN103271928,A61K000928
CN103271928,A61K004722
CN103271928,A61P001518
CN103285014,A61K0031549
CN103285014,A61K000920
CN103285014,A61K000948
CN103285014,A61K003141
CN103285014,A61K00314422
CN103285014,A61P000912
CN103340852,A61K003140
CN103340852,A61K000920
CN103340852,A61K000948
CN103340852,A61K0031397
CN103340852,A61P000306
CN103340855,A61K003143
CN103340855,A61K000920
CN103340855,A61K0031424
CN103340855,A61K004712
CN103340855,A61K004732
CN103340855,A61P003104
CN103340866,A61K0031496
CN103340866,A61K0031431
CN103340866,A61P003104
CN103356502,A61K000948
CN103356502,A61K000928
CN103356502,A61K0031155
CN103356502,A61K00314439
CN103356502,A61P000310
CN103356503,A61K000948
CN103356503,A61K000928
CN103356503,A61K00314422
CN103356503,A61K003155
